energy(eV)	IMFP(nm)
1039.6000 	3.0210 
1044.5000 	3.0310 
1049.4000 	3.0420 
1054.3000 	3.0530 
1059.1000 	3.0640 
1064.0000 	3.0750 
1068.9000 	3.0850 
1073.8000 	3.0960 
1078.6000 	3.1070 
1083.5000 	3.1180 
1088.4000 	3.1280 
1093.3000 	3.1390 
1098.1000 	3.1500 
1103.0000 	3.1610 
1107.9000 	3.1710 
1112.8000 	3.1820 
1117.6000 	3.1930 
1122.5000 	3.2030 
1127.4000 	3.2140 
1132.3000 	3.2250 
1137.1000 	3.2360 
1142.0000 	3.2460 
1146.9000 	3.2570 
1151.8000 	3.2680 
1156.6000 	3.2780 
1161.5000 	3.2890 
1166.4000 	3.2990 
1171.3000 	3.3100 
1176.1000 	3.3210 
1181.0000 	3.3310 
1185.9000 	3.3420 
1190.8000 	3.3530 
1195.6000 	3.3630 
1200.5000 	3.3740 
1205.4000 	3.3840 
1210.3000 	3.3950 
1215.1000 	3.4060 
1220.0000 	3.4160 
1224.9000 	3.4270 
1229.8000 	3.4370 
1234.6000 	3.4480 
1239.5000 	3.4580 
1244.4000 	3.4690 
1249.3000 	3.4790 
1254.1000 	3.4900 
1259.0000 	3.5000 
1263.9000 	3.5110 
1268.8000 	3.5210 
1273.6000 	3.5320 
1278.5000 	3.5420 
1283.4000 	3.5530 
1288.3000 	3.5630 
1293.1000 	3.5740 
1298.0000 	3.5840 
1302.9000 	3.5950 
1307.8000 	3.6050 
1312.6000 	3.6160 
1317.5000 	3.6260 
1322.4000 	3.6370 
1327.3000 	3.6470 
1332.1000 	3.6580 
1337.0000 	3.6680 
1341.9000 	3.6780 
1346.8000 	3.6890 
1351.6000 	3.6990 
1356.5000 	3.7100 
1361.4000 	3.7200 
1366.3000 	3.7300 
1371.1000 	3.7410 
1376.0000 	3.7510 
1380.9000 	3.7620 
1385.8000 	3.7720 
1390.6000 	3.7820 
1395.5000 	3.7930 
1400.4000 	3.8030 
1405.3000 	3.8130 
1410.1000 	3.8240 
1415.0000 	3.8340 
1419.9000 	3.8440 
1424.8000 	3.8550 
1429.6000 	3.8650 
1434.5000 	3.8750 
1439.4000 	3.8860 
1444.3000 	3.8960 
1449.1000 	3.9060 
1454.0000 	3.9170 
1458.9000 	3.9270 
1463.8000 	3.9370 
1468.6000 	3.9480 
1473.5000 	3.9580 
1478.4000 	3.9680 
1483.3000 	3.9780 
1488.1000 	3.9890 
1493.0000 	3.9990 
1497.9000 	4.0090 
1502.8000 	4.0190 
1507.6000 	4.0300 
1512.5000 	4.0400 
1517.4000 	4.0500 
1522.3000 	4.0600 
1527.1000 	4.0710 
1532.0000 	4.0810 
1536.9000 	4.0910 
1541.8000 	4.1010 
1546.6000 	4.1120 
1551.5000 	4.1220 
1556.4000 	4.1320 
1561.3000 	4.1420 
1566.1000 	4.1520 
1571.0000 	4.1630 
1575.9000 	4.1730 
1580.8000 	4.1830 
1585.6000 	4.1930 
1590.5000 	4.2030 
1595.4000 	4.2130 
1600.3000 	4.2240 
1605.1000 	4.2340 
1610.0000 	4.2440 
1614.9000 	4.2540 
1619.8000 	4.2640 
1624.6000 	4.2740 
1629.5000 	4.2840 
1634.4000 	4.2950 
1639.3000 	4.3050 
1644.1000 	4.3150 
1649.0000 	4.3250 
1653.9000 	4.3350 
1658.8000 	4.3450 
1663.6000 	4.3550 
1668.5000 	4.3650 
1673.4000 	4.3760 
1678.3000 	4.3860 
1683.1000 	4.3960 
1688.0000 	4.4060 
1692.9000 	4.4160 
1697.8000 	4.4260 
1702.6000 	4.4360 
1707.5000 	4.4460 
1712.4000 	4.4560 
1717.3000 	4.4660 
1722.1000 	4.4760 
1727.0000 	4.4860 
1731.9000 	4.4960 
1736.8000 	4.5060 
1741.6000 	4.5160 
1746.5000 	4.5260 
1751.4000 	4.5370 
1756.3000 	4.5470 
1761.1000 	4.5570 
1766.0000 	4.5670 
1770.9000 	4.5770 
1775.8000 	4.5870 
1780.6000 	4.5970 
1785.5000 	4.6070 
1790.4000 	4.6170 
1795.3000 	4.6270 
1800.1000 	4.6370 
1805.0000 	4.6470 
1809.9000 	4.6570 
1814.8000 	4.6670 
1819.6000 	4.6770 
1824.5000 	4.6870 
1829.4000 	4.6960 
1834.3000 	4.7060 
1839.1000 	4.7160 
1844.0000 	4.7260 
1848.9000 	4.7360 
1853.8000 	4.7460 
1858.6000 	4.7560 
1863.5000 	4.7660 
1868.4000 	4.7760 
1873.3000 	4.7860 
1878.1000 	4.7960 
1883.0000 	4.8060 
1887.9000 	4.8160 
1892.8000 	4.8260 
1897.6000 	4.8360 
1902.5000 	4.8460 
1907.4000 	4.8550 
1912.3000 	4.8650 
1917.1000 	4.8750 
1922.0000 	4.8850 
1926.9000 	4.8950 
1931.8000 	4.9050 
1936.6000 	4.9150 
1941.5000 	4.9250 
1946.4000 	4.9350 
1951.3000 	4.9450 
1956.1000 	4.9540 
1961.0000 	4.9640 
1965.9000 	4.9740 
1970.8000 	4.9840 
1975.6000 	4.9940 
1980.5000 	5.0040 
1985.4000 	5.0140 
1990.3000 	5.0230 
1995.1000 	5.0330 
2000.0000 	5.0430 
